73,Grange Hill,2,0,0,0,0,0,72,70,0,0,0,0,0,0,0
74,Hammersmith,3,4,6,11,0,0,75,0,0,0,0,0,0,0,0
75,Goldhawk Road,3,6,0,0,0,0,74,76,0,0,0,0,0,0,0
76,Shepherds Bush Market,3,6,0,0,0,0,75,77,0,0,0,0,0,0,0
77,Wood Lane,3,6,0,0,0,0,76,78,0,0,0,0,0,0,0
78,Latimer Road,3,6,0,0,0,0,77,79,0,0,0,0,0,0,0
79,Ladbroke Grove,3,6,0,0,0,0,78,80,0,0,0,0,0,0,0
80,Westbourne Park,3,6,0,0,0,0,79,81,0,0,0,0,0,0,0
81,Royal Oak,3,6,0,0,0,0,80,12,0,0,0,0,0,0,0
82,Great Portland Street,3,6,8,0,0,0,9,83,0,0,0,0,0,0,0
83,Euston Square,3,6,8,0,0,0,82,84,0,0,0,0,0,0,0
84,Kings Cross St. Pancras,3,6,8,9,11,13,83,85,267,365,366,280,0,0,0
85,Farringdon,3,6,8,0,0,0,84,86,0,0,0,0,0,0,0
86,Barbican,3,6,8,0,0,0,85,87,0,0,0,0,0,0,0
87,Moorgate,3,6,8,9,0,0,86,48,47,266,0,0,0,0,0
88,Aldgate,3,4,6,8,0,0,48,89,0,0,0,0,0,0,0
89,Tower Hill,3,4,0,0,0,0,88,90,113,0,0,0,0,0,0
90,Monument,3,4,0,0,0,0,89,91,0,0,0,0,0,0,0
91,Cannon Street,3,4,0,0,0,0,90,92,0,0,0,0,0,0,0
92,Mansion House,3,4,0,0,0,0,91,93,0,0,0,0,0,0,0
93,Blackfriars,3,4,0,0,0,0,92,94,0,0,0,0,0,0,0
94,Temple,3,4,0,0,0,0,93,95,4,0,0,0,0,0,0
95,Westminster,3,4,7,0,0,0,94,96,4,198,3,0,0,0,0
96,St. James's Park,3,4,0,0,0,0,95,97,0,0,0,0,0,0,0
97,Victoria,3,4,13,0,0,0,96,98,412,198,0,0,0,0,0
98,Sloane Square,3,4,0,0,0,0,97,99,0,0,0,0,0,0,0
99,South Kensington,3,4,11,0,0,0,98,100,369,0,0,0,0,0,0
100,Gloucester Road,3,4,11,0,0,0,99,101,112,0,0,0,0,0,0
101,High Street Kensington,3,4,0,0,0,0,100,38,112,0,0,0,0,0,0
102,Bayswater,3,4,0,0,0,0,12,38,0,0,0,0,0,0,0
103,Ealing Common,4,11,0,0,0,0,62,104,379,0,0,0,0,0,0
104,Acton Town,4,11,0,0,0,0,103,105,106,370,0,0,0,0,0
105,Chiswick Park,4,0,0,0,0,0,104,106,0,0,0,0,0,0,0
106,Turnham Green,4,11,0,0,0,0,105,107,134,109,0,0,0,0,0
107,Stamford Brook,4,0,0,0,0,0,106,108,0,0,0,0,0,0,0
108,Ravenscourt Park,4,0,0,0,0,0,107,109,0,0,0,0,0,0,0
109,Hammersmith (District),4,11,0,0,0,0,108,110,106,0,0,0,0,0,0
110,Barons Court,4,11,0,0,0,0,109,111,112,0,0,0,0,0,0
111,West Kensington,4,0,0,0,0,0,110,112,0,0,0,0,0,0,0
112,Earl's Court,4,0,0,0,0,0,111,100,131,101,0,0,0,0,0
113,Aldgate East,4,6,0,0,0,0,89,114,48,0,0,0,0,0,0
114,Whitechapel,4,6,10,0,0,0,113,115,285,143,0,0,0,0,0
115,Stepney Green,4,6,0,0,0,0,114,50,0,0,0,0,0,0,0
116,Bow Road,4,6,0,0,0,0,115,117,0,0,0,0,0,0,0
117,Bromley-by-Bow,4,6,0,0,0,0,116,118,0,0,0,0,0,0,0
118,West Ham,4,5,6,7,0,0,117,119,174,175,160,51,0,0,0
119,Plaistow,4,6,0,0,0,0,118,120,0,0,0,0,0,0,0
120,Upton Park,4,6,0,0,0,0,119,121,0,0,0,0,0,0,0
121,East Ham,4,6,0,0,0,0,120,122,0,0,0,0,0,0,0
122,Barking,4,6,10,0,0,0,121,123,279,0,0,0,0,0,0
123,Upney,4,0,0,0,0,0,122,124,0,0,0,0,0,0,0
124,Becontree,4,0,0,0,0,0,123,125,0,0,0,0,0,0,0
125,Dagenham Heathway,4,0,0,0,0,0,124,126,0,0,0,0,0,0,0
126,Dagenham East,4,0,0,0,0,0,125,127,0,0,0,0,0,0,0
127,Elm Park,4,0,0,0,0,0,126,128,0,0,0,0,0,0,0
128,Hornchurch,4,0,0,0,0,0,127,129,0,0,0,0,0,0,0
129,Upminster Bridge,4,0,0,0,0,0,128,130,0,0,0,0,0,0,0
130,Upminster,4,10,0,0,0,0,129,338,0,0,0,0,0,0,0
131,Kensington (Olympia),4,10,0,0,0,0,112,36,142,0,0,0,0,0,0
132,Richmond,4,10,0,0,0,0,133,0,0,0,0,0,0,0,0
133,Kew Gardens,4,10,0,0,0,0,132,134,0,0,0,0,0,0,0
134,Gunnersbury,4,10,0,0,0,0,133,106,349,0,0,0,0,0,0
135,Wimbledon,4,0,0,0,0,0,136,0,0,0,0,0,0,0,0
136,Wimbledon Park,4,0,0,0,0,0,135,137,0,0,0,0,0,0,0
137,Southfields,4,0,0,0,0,0,136,138,0,0,0,0,0,0,0
138,East Putney,4,0,0,0,0,0,137,139,0,0,0,0,0,0,0
139,Putney Bridge,4,0,0,0,0,0,138,140,0,0,0,0,0,0,0
140,Parsons Green,4,0,0,0,0,0,139,141,0,0,0,0,0,0,0
141,Fulham Broadway,4,0,0,0,0,0,140,142,0,0,0,0,0,0,0
142,West Brompton,4,10,0,0,0,0,141,131,353,0,0,0,0,0,0
143,Shadwell,5,10,0,0,0,0,47,144,176,114,286,0,0,0,0
144,Limehouse,5,0,0,0,0,0,143,144,0,0,0,0,0,0,0
145,Westferry,5,0,0,0,0,0,144,146,157,0,0,0,0,0,0
146,Canary Wharf,5,7,0,0,0,0,145,147,171,202,203,0,0,0,0
147,Heron Quays,5,0,0,0,0,0,146,148,0,0,0,0,0,0,0
148,South Quay,5,0,0,0,0,0,147,149,0,0,0,0,0,0,0
149,Crossharbour,5,0,0,0,0,0,148,150,0,0,0,0,0,0,0
150,Mudchute,5,0,0,0,0,0,149,151,0,0,0,0,0,0,0
151,Island Gardens,5,0,0,0,0,0,150,152,0,0,0,0,0,0,0
152,Cutty Sark (for Maritime Greenwich),5,0,0,0,0,0,151,153,0,0,0,0,0,0,0
153,Greenwich,5,0,0,0,0,0,152,154,0,0,0,0,0,0,0
154,Deptford Bridge,5,0,0,0,0,0,153,155,0,0,0,0,0,0,0
155,Elverson Road,5,0,0,0,0,0,154,156,0,0,0,0,0,0,0
156,Lewisham,5,0,0,0,0,0,155,0,0,0,0,0,0,0,0
157,Poplar,5,0,0,0,0,0,145,158,170,171,0,0,0,0,0
158,Blackwall,5,0,0,0,0,0,157,159,0,0,0,0,0,0,0
159,East India,5,0,0,0,0,0,158,160,0,0,0,0,0,0,0
160,Canning Town,5,7,0,0,0,0,159,161,177,203,118,0,0,0,0
161,West Silvertown,5,0,0,0,0,0,160,162,0,0,0,0,0,0,0
162,Pontoon Dock,5,0,0,0,0,0,161,163,0,0,0,0,0,0,0
163,London City Airport,5,0,0,0,0,0,162,164,0,0,0,0,0,0,0
164,King George V,5,0,0,0,0,0,163,165,0,0,0,0,0,0,0
165,Woolwich Arsenal,5,0,0,0,0,0,164,0,0,0,0,0,0,0,0
166,Pudding Mill Lane,5,0,0,0,0,0,51,167,0,0,0,0,0,0,0
167,Bow Church,5,0,0,0,0,0,166,168,0,0,0,0,0,0,0
168,Devons Road,5,0,0,0,0,0,167,169,0,0,0,0,0,0,0
169,Langdon Park,5,0,0,0,0,0,168,170,0,0,0,0,0,0,0
170,All Saints,5,0,0,0,0,0,169,157,0,0,0,0,0,0,0
171,West India Quay,5,0,0,0,0,0,157,146,0,0,0,0,0,0,0
172,Stratford International,5,0,0,0,0,0,51,0,0,0,0,0,0,0,0
173,Stratford High Street,5,0,0,0,0,0,51,174,0,0,0,0,0,0,0
174,Abbey Road,5,0,0,0,0,0,118,173,0,0,0,0,0,0,0
175,Star Lane,5,0,0,0,0,0,118,160,0,0,0,0,0,0,0
176,Tower Gateway,5,0,0,0,0,0,89,143,0,0,0,0,0,0,0
177,Royal Victoria,5,0,0,0,0,0,160,178,0,0,0,0,0,0,0
178,Custom House For ExCeL,5,0,0,0,0,0,177,179,0,0,0,0,0,0,0
179,Prince Regent,5,0,0,0,0,0,178,180,0,0,0,0,0,0,0
180,Royal Albert,5,0,0,0,0,0,179,181,0,0,0,0,0,0,0
181,Beckton Park,5,0,0,0,0,0,180,182,0,0,0,0,0,0,0
182,Cyprus,5,0,0,0,0,0,181,183,0,0,0,0,0,0,0
183,Gallions Reach,5,0,0,0,0,0,182,184,0,0,0,0,0,0,0
184,Beckton,5,0,0,0,0,0,183,0,0,0,0,0,0,0,0
185,Stanmore,7,0,0,0,0,0,186,0,0,0,0,0,0,0,0
186,Canons Park,7,0,0,0,0,0,185,187,0,0,0,0,0,0,0
187,Queensbury,7,0,0,0,0,0,186,188,0,0,0,0,0,0,0
188,Kingsbury,7,0,0,0,0,0,187,189,0,0,0,0,0,0,0
189,Wembley Park,7,8,0,0,0,0,188,190,215,192,195,0,0,0,0
190,Neasden,7,0,0,0,0,0,189,191,0,0,0,0,0,0,0
191,Dollis Hill,7,0,0,0,0,0,190,192,0,0,0,0,0,0,0
192,Willesden Green,7,8,0,0,0,0,191,193,195,0,0,0,0,0,0
193,Kilburn,7,0,0,0,0,0,192,194,0,0,0,0,0,0,0
194,West Hampstead,7,10,0,0,0,0,193,195,352,345,0,0,0,0,0
195,Finchley Road,7,8,0,0,0,0,194,196,192,9,189,0,0,0,0
196,Swiss Cottage,7,0,0,0,0,0,195,197,0,0,0,0,0,0,0
197,St. Johns Wood,7,0,0,0,0,0,196,9,0,0,0,0,0,0,0
198,Green Park,7,11,13,0,0,0,42,95,6,368,97,7,0,0,0
199,Southwark,7,0,0,0,0,0,3,200,0,0,0,0,0,0,0
200,London Bridge,7,9,0,0,0,0,199,201,265,47,0,0,0,0,0
201,Bermondsey,7,0,0,0,0,0,200,202,0,0,0,0,0,0,0
202,Canada Water,7,10,0,0,0,0,201,146,287,288,0,0,0,0,0
203,North Greenwich,7,0,0,0,0,0,146,160,0,0,0,0,0,0,0
204,Amersham,8,0,0,0,0,0,205,0,0,0,0,0,0,0,0
205,Chalfont and Latimer,8,0,0,0,0,0,204,206,216,0,0,0,0,0,0
206,Chorleywood,8,0,0,0,0,0,205,207,0,0,0,0,0,0,0
207,Rickmansworth,8,0,0,0,0,0,206,208,217,0,0,0,0,0,0
208,Moor Park,8,0,0,0,0,0,207,209,0,0,0,0,0,0,0
209,Northwood,8,0,0,0,0,0,208,210,0,0,0,0,0,0,0
210,Northwood Hills,8,0,0,0,0,0,209,211,0,0,0,0,0,0,0
211,Pinner,8,0,0,0,0,0,210,212,0,0,0,0,0,0,0
212,North Harrow,8,0,0,0,0,0,211,213,0,0,0,0,0,0,0
213,Harrow-on-the-Hill,8,0,0,0,0,0,212,214,226,0,0,0,0,0,0
214,Northwick Park,8,0,0,0,0,0,213,215,0,0,0,0,0,0,0
215,Preston Road,8,0,0,0,0,0,214,189,0,0,0,0,0,0,0
216,Chesham,8,0,0,0,0,0,205,0,0,0,0,0,0,0,0
217,Croxley,8,0,0,0,0,0,207,208,218,0,0,0,0,0,0
218,Watford,8,0,0,0,0,0,217,0,0,0,0,0,0,0,0
219,Uxbridge,8,11,0,0,0,0,220,0,0,0,0,0,0,0,0
220,Hillingdon,8,11,0,0,0,0,219,221,0,0,0,0,0,0,0
221,Ickenham,8,11,0,0,0,0,220,222,0,0,0,0,0,0,0
222,Ruislip,8,11,0,0,0,0,221,223,0,0,0,0,0,0,0
223,Ruislip Manor,8,11,0,0,0,0,222,224,0,0,0,0,0,0,0
224,Eastcote,8,11,0,0,0,0,223,225,0,0,0,0,0,0,0
225,Rayners Lane,8,11,0,0,0,0,224,226,384,0,0,0,0,0,0
226,West Harrow,8,0,0,0,0,0,225,213,0,0,0,0,0,0,0
227,Battersea Power Station,9,0,0,0,0,0,228,0,0,0,0,0,0,0,0
228,Nine Elms,9,0,0,0,0,0,227,229,0,0,0,0,0,0,0
229,Kennington,9,0,0,0,0,0,228,3,264,1,0,0,0,0,0
230,Leicester Square,9,11,0,0,0,0,5,43,365,6,0,0,0,0,0
231,Goodge Street,9,0,0,0,0,0,43,232,0,0,0,0,0,0,0
232,Warren Street,9,13,0,0,0,0,231,233,7,0,0,0,0,0,0
233,Euston,9,13,0,0,0,0,232,234,84,235,0,0,0,0,0
234,Mornington Crescent,9,0,0,0,0,0,233,235,0,0,0,0,0,0,0
235,Camden Town,9,0,0,0,0,0,234,236,245,0,0,0,0,0,0
236,Chalk Farm,9,0,0,0,0,0,235,237,0,0,0,0,0,0,0
237,Belsize Park,9,0,0,0,0,0,236,238,0,0,0,0,0,0,0
238,Hampstead,9,0,0,0,0,0,237,239,0,0,0,0,0,0,0
239,Golders Green,9,0,0,0,0,0,238,240,0,0,0,0,0,0,0
240,Brent Cross,9,0,0,0,0,0,239,241,0,0,0,0,0,0,0
241,Hendon Central,9,0,0,0,0,0,240,242,0,0,0,0,0,0,0
242,Colindale,9,0,0,0,0,0,241,243,0,0,0,0,0,0,0
243,Burnt Oak,9,0,0,0,0,0,242,244,0,0,0,0,0,0,0
244,Edgware,9,0,0,0,0,0,243,0,0,0,0,0,0,0,0
245,Kentish Town,9,0,0,0,0,0,235,246,0,0,0,0,0,0,0
246,Tufnell Park,9,0,0,0,0,0,245,247,0,0,0,0,0,0,0
247,Archway,9,0,0,0,0,0,246,248,0,0,0,0,0,0,0
248,Highgate,9,0,0,0,0,0,247,249,0,0,0,0,0,0,0
249,East Finchley,9,0,0,0,0,0,248,250,0,0,0,0,0,0,0
250,Finchley Central,9,0,0,0,0,0,249,251,268,0,0,0,0,0,0
251,Woodside Park,9,0,0,0,0,0,250,252,0,0,0,0,0,0,0
252,Totteridge and Whetstone,9,0,0,0,0,0,251,253,0,0,0,0,0,0,0
253,High Barnet,9,0,0,0,0,0,252,0,0,0,0,0,0,0,0
254,Morden,9,0,0,0,0,0,255,0,0,0,0,0,0,0,0
255,South Wimbledon,9,0,0,0,0,0,254,256,0,0,0,0,0,0,0
256,Colliers Wood,9,0,0,0,0,0,255,257,0,0,0,0,0,0,0
257,Tooting Broadway,9,0,0,0,0,0,256,258,0,0,0,0,0,0,0
258,Tooting Bec,9,0,0,0,0,0,257,259,0,0,0,0,0,0,0
259,Balham,9,0,0,0,0,0,258,260,0,0,0,0,0,0,0
260,Clapham South,9,0,0,0,0,0,259,261,0,0,0,0,0,0,0
261,Clapham Common,9,0,0,0,0,0,260,262,0,0,0,0,0,0,0
262,Clapham North,9,0,0,0,0,0,261,263,0,0,0,0,0,0,0
263,Stockwell,9,13,0,0,0,0,262,264,410,411,0,0,0,0,0
264,Oval,9,0,0,0,0,0,263,229,0,0,0,0,0,0,0
265,Borough,9,0,0,0,0,0,1,200,0,0,0,0,0,0,0
266,Old Street,9,0,0,0,0,0,87,267,0,0,0,0,0,0,0
267,Angel,9,0,0,0,0,0,266,84,0,0,0,0,0,0,0
268,Mill Hill East,9,0,0,0,0,0,267,250,0,0,0,0,0,0,0
269,Gospel Oak,10,0,0,0,0,0,270,350,351,0,0,0,0,0,0
270,Upper Holloway,10,0,0,0,0,0,269,271,0,0,0,0,0,0,0
271,Crouch Hill,10,0,0,0,0,0,270,272,0,0,0,0,0,0,0
272,Harringay Green Lanes,10,0,0,0,0,0,271,273,0,0,0,0,0,0,0
273,South Tottenham,10,0,0,0,0,0,272,274,0,0,0,0,0,0,0
274,Blackhorse Road,10,13,0,0,0,0,273,275,414,319,0,0,0,0,0
275,Walthamstow Queens Road,10,0,0,0,0,0,274,276,0,0,0,0,0,0,0
276,Leyton Midland Road,10,0,0,0,0,0,275,277,0,0,0,0,0,0,0
277,Leytonstone High Road,10,0,0,0,0,0,276,278,0,0,0,0,0,0,0
278,Wanstead Park,10,0,0,0,0,0,277,279,0,0,0,0,0,0,0
279,Woodgrange Park,10,0,0,0,0,0,278,122,0,0,0,0,0,0,0
280,Highbury and Islington,10,13,0,0,0,0,281,343,84,362,0,0,0,0,0
281,Canonbury,10,0,0,0,0,0,280,282,342,0,0,0,0,0,0
282,Dalston Junction,10,0,0,0,0,0,281,283,0,0,0,0,0,0,0
283,Haggerston,10,0,0,0,0,0,282,284,0,0,0,0,0,0,0
284,Hoxton,10,0,0,0,0,0,283,285,0,0,0,0,0,0,0
285,Shoreditch High Street,10,0,0,0,0,0,284,114,0,0,0,0,0,0,0
286,Wapping,10,0,0,0,0,0,143,287,0,0,0,0,0,0,0
287,Rotherhithe,10,0,0,0,0,0,286,202,0,0,0,0,0,0,0
288,Surrey Quays,10,0,0,0,0,0,202,289,290,300,0,0,0,0,0
289,New Cross ELL,10,0,0,0,0,0,288,0,0,0,0,0,0,0,0
290,New Cross Gate,10,0,0,0,0,0,288,291,0,0,0,0,0,0,0
291,Brockley,10,0,0,0,0,0,290,292,0,0,0,0,0,0,0
292,Honor Oak Park,10,0,0,0,0,0,291,293,0,0,0,0,0,0,0
293,Forest Hill,10,0,0,0,0,0,292,294,0,0,0,0,0,0,0
294,Sydenham,10,0,0,0,0,0,293,295,296,0,0,0,0,0,0
295,Crystal Palace,10,0,0,0,0,0,294,0,0,0,0,0,0,0,0
296,Penge West,10,0,0,0,0,0,294,597,0,0,0,0,0,0,0
297,Anerley,10,0,0,0,0,0,296,298,0,0,0,0,0,0,0
298,Norwood Junction,10,0,0,0,0,0,297,599,0,0,0,0,0,0,0
299,West Croydon,10,0,0,0,0,0,298,0,0,0,0,0,0,0,0
300,Queens Road Peckham,10,0,0,0,0,0,288,301,0,0,0,0,0,0,0
301,Peckham Rye,10,0,0,0,0,0,300,302,0,0,0,0,0,0,0
302,Denmark Hill,10,0,0,0,0,0,301,303,0,0,0,0,0,0,0
303,Clapham High Street,10,0,0,0,0,0,302,304,0,0,0,0,0,0,0
304,Wandsworth Road,10,0,0,0,0,0,303,305,0,0,0,0,0,0,0
305,Clapham Junction,10,0,0,0,0,0,304,353,0,0,0,0,0,0,0
306,London Euston,10,0,0,0,0,0,307,0,0,0,0,0,0,0,0
307,South Hampstead,10,0,0,0,0,0,306,308,0,0,0,0,0,0,0
308,Kilburn High Road,10,0,0,0,0,0,307,16,0,0,0,0,0,0,0
309,Hatch End,10,0,0,0,0,0,25,310,0,0,0,0,0,0,0
310,Carpenders Park,10,0,0,0,0,0,309,311,0,0,0,0,0,0,0
311,Bushey,10,0,0,0,0,0,310,312,0,0,0,0,0,0,0
312,Watford High Street,10,0,0,0,0,0,311,313,0,0,0,0,0,0,0
313,Watford Junction,10,0,0,0,0,0,312,0,0,0,0,0,0,0,0
314,Cambridge Heath,10,0,0,0,0,0,49,315,0,0,0,0,0,0,0
315,London Fields,10,0,0,0,0,0,314,316,0,0,0,0,0,0,0
316,Hackney Downs,10,0,0,0,0,0,315,317,323,0,0,0,0,0,0
317,Clapton,10,0,0,0,0,0,316,318,0,0,0,0,0,0,0
318,St James Street,10,0,0,0,0,0,317,319,0,0,0,0,0,0,0
319,Walthamstow Central,10,13,0,0,0,0,318,320,274,0,0,0,0,0,0
320,Wood Street,10,0,0,0,0,0,319,321,0,0,0,0,0,0,0
321,Highams Park,10,0,0,0,0,0,320,322,0,0,0,0,0,0,0
322,Chingford,10,0,0,0,0,0,321,0,0,0,0,0,0,0,0
323,Rectory Road,10,0,0,0,0,0,316,324,0,0,0,0,0,0,0
324,Stoke Newington,10,0,0,0,0,0,323,325,0,0,0,0,0,0,0
325,Stamford Hill,10,0,0,0,0,0,324,326,0,0,0,0,0,0,0
326,Seven Sisters,10,13,0,0,0,0,325,327,362,413,0,0,0,0,0
327,Bruce Grove,10,0,0,0,0,0,326,328,0,0,0,0,0,0,0
328,White Hart Lane,10,0,0,0,0,0,327,329,0,0,0,0,0,0,0
329,Silver Street,10,0,0,0,0,0,328,330,0,0,0,0,0,0,0
330,Edmonton Green,10,0,0,0,0,0,329,331,333,0,0,0,0,0,0
331,Bush Hill Park,10,0,0,0,0,0,330,332,0,0,0,0,0,0,0
332,Enfield Town,10,0,0,0,0,0,331,0,0,0,0,0,0,0,0
333,Southbury,10,0,0,0,0,0,330,334,0,0,0,0,0,0,0
334,Turkey Street,10,0,0,0,0,0,333,335,0,0,0,0,0,0,0
335,Theobalds Grove,10,0,0,0,0,0,334,336,0,0,0,0,0,0,0
336,Cheshunt,10,0,0,0,0,0,335,0,0,0,0,0,0,0,0
337,Romford,10,12,0,0,0,0,338,402,403,0,0,0,0,0,0
338,Emerson Park,10,0,0,0,0,0,337,130,0,0,0,0,0,0,0
339,Hackney Wick,10,0,0,0,0,0,51,340,0,0,0,0,0,0,0
340,Homerton,10,0,0,0,0,0,339,341,0,0,0,0,0,0,0
341,Hackney Central,10,0,0,0,0,0,340,342,0,0,0,0,0,0,0
342,Dalston Kingsland,10,0,0,0,0,0,341,281,0,0,0,0,0,0,0
343,Caledonian Road and Barnsbury,10,0,0,0,0,0,280,344,0,0,0,0,0,0,0
344,Camden Road,10,0,0,0,0,0,343,325,350,0,0,0,0,0,0
345,Brondesbury,10,0,0,0,0,0,344,346,194,0,0,0,0,0,0
346,Brondesbury Park,10,0,0,0,0,0,345,347,0,0,0,0,0,0,0
347,Kensal Rise,10,0,0,0,0,0,346,18,0,0,0,0,0,0,0
348,Acton Central,10,0,0,0,0,0,18,349,0,0,0,0,0,0,0
349,South Acton,10,0,0,0,0,0,348,134,0,0,0,0,0,0,0
350,Kentish Town West,10,0,0,0,0,0,344,269,0,0,0,0,0,0,0
351,Hampstead Heath,10,0,0,0,0,0,269,352,0,0,0,0,0,0,0
352,Finchley Road and Frognal,10,0,0,0,0,0,351,194,0,0,0,0,0,0,0
353,Imperial Wharf,10,0,0,0,0,0,142,305,0,0,0,0,0,0,0
354,Cockfosters,11,0,0,0,0,0,355,0,0,0,0,0,0,0,0
355,Oakwood,11,0,0,0,0,0,354,356,0,0,0,0,0,0,0
356,Southgate,11,0,0,0,0,0,355,357,0,0,0,0,0,0,0
357,Arnos Grove,11,0,0,0,0,0,356,358,0,0,0,0,0,0,0
358,Bounds Green,11,0,0,0,0,0,357,359,0,0,0,0,0,0,0
